"ID","AGE","HOME","HINC","GENDER","MEDAGE","MEDPPH","MEDHVAL","MEDINC","MEDEDUC","NUMPROM","NUMPRM12","RAMNTALL","NGIFTALL","MAXRAMNT","LASTGIFT","TDON","RFA_96"
2,66,1,1,"F",44,228,576,288,120,15,12,35,2,20,15,15,"F1F"
7,82,1,1,"F",42,121,984,250,121,76,14,150,20,13,10,18,"S2E"
9,72,NA,NA,"M",40,190,658,321,120,81,33,109,16,10,5,17.0000000000001,"S4E"
10,65,1,7,"M",42,184,1512,529,160,15,13,30,2,15,15,15,"F1F"
11,85,1,5,"M",44,176,3001,345,140,56,13,90,9,15,15,15,"A3F"
13,66,0,1,"M",51,100,390,141,120,51,12,87,6,20,20,25.0000000000001,"A1F"
20,37,1,4,"M",33,204,762,352,132,15,10,15,1,15,15,20.0000000000001,"F1F"
24,78,0,2,"F",42,187,713,352,120,46,14,84,15,8,6,15,"S4D"
26,83,0,2,"F",29,107,738,187,140,67,9,107,10,18,18,26.0000000000001,"A1F"
28,82,1,5,"F",52,179,2882,674,160,59,13,122,10,17,17,19.0000000000001,"A2F"
29,68,1,5,"F",33,299,1577,414,120,52,7,136,25,10,10,18,"A1E"
30,42,1,6,"M",39,125,834,383,138,45,11,134,7,21,19,26.0000000000001,"A1F"
42,73,NA,NA,"F",36,176,451,268,120,97,28,149,31,10,5,5.00000000000006,"A1E"
48,97,0,1,"U",62,137,1507,413,140,69,13,178,21,13,11,23.0000000000001,"S3E"
50,44,1,5,"M",36,235,635,467,140,42,10,52,4,16,16,18,"A1F"
52,68,1,5,"M",38,220,2489,466,125,45,8,95,13,20,20,18,"A1F"
54,26,1,4,"F",33,255,884,547,145,20,12,32,5,10,10,20.0000000000001,"S3E"
55,57,NA,NA,NA,45,177,494,321,120,21,10,32,2,17,17,18,"A1F"
59,32,1,7,"F",39,258,747,458,120,15,12,23,1,23,23,16.0000000000001,"F1F"
66,82,0,7,"F",40,174,752,375,140,81,12,169,32,10,6,21,"S4E"
71,85,NA,NA,"F",42,204,676,316,120,65,13,201,13,25,20,26.0000000000001,"A1F"
75,91,NA,NA,"M",40,153,1618,508,160,103,38,365,11,51,50,21,"A1G"
77,56,1,5,"M",33,196,577,339,126,51,13,72,4,25,25,18,"A1G"
83,64,1,7,"F",46,222,1408,551,140,25,12,30,5,10,5,16.0000000000001,"A3E"
84,87,1,2,"M",39,230,520,222,120,23,13,25,3,10,10,17.0000000000001,"N3E"
87,74,0,1,"U",44,189,470,234,120,42,12,95,6,23,21,25.0000000000001,"A1F"
88,90,1,5,"F",43,194,645,317,120,48,12,118,5,40,40,21,"A1G"
91,64,1,2,"F",39,210,894,314,126,29,15,100,6,35,15,15,"A4G"
94,40,1,4,"M",28,304,575,220,140,38,14,65,8,10,10,16.0000000000001,"A3E"
98,72,1,1,"M",46,181,1840,268,120,15,13,25,1,25,0,13.0000000000001,"F1G"
102,49,1,3,"M",36,230,710,333,120,60,13,586,28,28,25,18,"S4G"
105,55,1,3,"M",38,206,377,218,120,86,12,399,42,26,15,18,"S4F"
108,74,0,1,"M",43,161,333,114,105,62,12,112,9,15,15,18,"A1F"
109,50,1,5,"M",39,159,1166,410,160,58,13,120,14,12,5,19.0000000000001,"A4E"
110,69,0,1,"M",46,181,395,301,120,33,8,70,9,12,6,17.0000000000001,"A3E"
111,42,1,5,"F",37,297,1107,633,160,52,10,87,8,16,16,26.0000000000001,"A1F"
112,35,1,6,"F",42,175,725,248,130,40,13,78,5,23,23,18,"A1F"
113,71,0,3,"M",60,154,571,198,120,46,11,85,7,20,20,24,"A1F"
115,40,1,5,"F",43,176,1084,365,139,22,10,30,2,20,20,23.0000000000001,"A1F"
124,56,0,1,"F",37,190,1377,203,120,37,13,94,8,20,20,15,"A2F"
128,64,1,1,"M",47,202,224,137,120,13,10,15,1,15,15,17.0000000000001,"F1F"
131,73,1,3,"F",44,227,2548,494,138,52,11,81,8,15,15,18,"A1F"
134,70,0,5,"F",45,180,785,314,120,14,12,20,1,20,20,16.0000000000001,"F1F"
135,78,1,2,"M",37,215,392,258,123,67,11,122,14,14,14,18,"A1E"
138,84,NA,NA,"M",42,194,943,369,132,51,14,85,7,20,20,18,"A2F"
139,73,1,2,"M",56,149,688,273,140,74,13,131,16,12,10,17.0000000000001,"S3E"
153,88,1,6,"F",46,164,3709,668,161,66,14,188,17,15,15,19.0000000000001,"S4F"
160,83,NA,NA,"M",51,164,1569,553,155,93,27,149,19,15,12,19.0000000000001,"A1E"
161,81,1,5,"M",46,190,1473,611,160,13,10,15,1,15,15,17.0000000000001,"F1F"
170,83,0,5,"M",19,134,517,166,140,63,12,111,12,15,12,18,"A1E"
174,32,1,2,"F",36,237,822,257,120,17,12,25,3,10,5,15,"N2E"
175,85,NA,NA,NA,46,185,460,281,120,123,36,248,28,17,16,5.00000000000006,"S2F"
183,56,1,5,"F",48,168,544,337,120,13,11,50,1,50,50,17.0000000000001,"F1G"
190,82,1,4,"F",49,179,1472,625,160,70,13,162,11,25,25,19.0000000000001,"A1G"
197,75,1,7,"M",45,228,970,514,151,68,13,88,13,10,10,15,"A3E"
198,46,1,5,"F",25,175,549,245,122,44,11,65,6,20,20,25.0000000000001,"A1F"
216,50,NA,NA,"M",55,142,2758,570,150,32,11,39,5,10,10,15,"A2E"
217,51,1,7,"F",40,195,835,418,133,53,12,96,10,15,15,23.0000000000001,"A1F"
220,74,1,6,"F",59,142,904,206,120,84,12,257,28,20,17,26.0000000000001,"A1F"
225,51,1,5,"M",34,355,2103,333,120,16,10,20,1,20,20,20.0000000000001,"F1F"
226,58,0,2,"M",42,204,711,306,120,26,15,132,3,47,47,15,"N2G"
