"ID","DONR","DAMT","AGE","HOME","HINC","GENDER","MEDAGE","MEDPPH","MEDHVAL","MEDINC","MEDEDUC","NUMPROM","NUMPRM12","RAMNTALL","NGIFTALL","MAXRAMNT","LASTGIFT","TDON","RFA_96"
29,0,0,68,1,5,"F",33,299,1577,414,120,52,7,136,25,10,10,18,"A1E"
30,0,0,42,1,6,"M",39,125,834,383,138,45,11,134,7,21,19,26.0000000000001,"A1F"
55,0,0,57,NA,NA,NA,45,177,494,321,120,21,10,32,2,17,17,18,"A1F"
66,0,0,82,0,7,"F",40,174,752,375,140,81,12,169,32,10,6,21,"S4E"
71,0,0,85,NA,NA,"F",42,204,676,316,120,65,13,201,13,25,20,26.0000000000001,"A1F"
84,0,0,87,1,2,"M",39,230,520,222,120,23,13,25,3,10,10,17.0000000000001,"N3E"
94,0,0,40,1,4,"M",28,304,575,220,140,38,14,65,8,10,10,16.0000000000001,"A3E"
97,0,0,55,NA,NA,"F",42,196,507,229,120,64,13,146,27,15,5,18,"S4D"
111,0,0,42,1,5,"F",37,297,1107,633,160,52,10,87,8,16,16,26.0000000000001,"A1F"
112,0,0,35,1,6,"F",42,175,725,248,130,40,13,78,5,23,23,18,"A1F"
124,0,0,56,0,1,"F",37,190,1377,203,120,37,13,94,8,20,20,15,"A2F"
170,0,0,83,0,5,"M",19,134,517,166,140,63,12,111,12,15,12,18,"A1E"
173,0,0,58,0,1,"M",42,196,546,292,120,47,14,83,8,16,14,15,"A2F"
175,0,0,85,NA,NA,NA,46,185,460,281,120,123,36,248,28,17,16,5.00000000000006,"S2F"
178,0,0,66,1,4,"M",41,198,372,153,120,43,12,52,6,15,15,23.0000000000001,"S2F"
217,0,0,51,1,7,"F",40,195,835,418,133,53,12,96,10,15,15,23.0000000000001,"A1F"
220,0,0,74,1,6,"F",59,142,904,206,120,84,12,257,28,20,17,26.0000000000001,"A1F"
248,0,0,90,0,5,"F",39,252,570,391,120,53,13,128,12,15,13,19.0000000000001,"A4E"
319,0,0,62,1,4,"M",58,151,611,204,120,36,12,70,4,20,20,20.0000000000001,"A1F"
321,1,50,63,0,4,"F",44,174,365,203,120,42,13,82,7,20,15,20.0000000000001,"A2F"
335,0,0,82,1,1,"F",48,123,530,82,110,51,7,132,28,10,2,19.0000000000001,"S4E"
341,0,0,86,1,7,"F",28,190,1219,430,120,39,29,47,3,17,15,16.0000000000001,"N2F"
363,0,0,44,0,1,"M",37,263,743,376,120,51,13,76,7,15,10,15,"A2F"
366,0,0,46,NA,NA,"M",40,224,717,236,120,14,11,23,1,23,23,17.0000000000001,"F1F"
383,0,0,72,0,4,"F",44,183,300,240,120,32,13,47,4,15,15,18,"A1F"
393,0,0,67,NA,NA,NA,26,127,418,131,135,66,10,78,11,16,16,23.0000000000001,"A1F"
395,0,0,64,NA,NA,"M",37,226,472,337,120,34,12,57,3,22,22,17.0000000000001,"A1F"
402,0,0,42,1,6,"F",34,275,1151,338,120,38,12,70,13,7,6,18,"S4D"
407,0,0,65,1,2,"F",56,153,266,215,120,25,13,30,2,25,25,19.0000000000001,"A1G"
480,0,0,44,1,2,"F",47,157,579,309,120,42,11,70,4,20,20,15,"A1F"
491,0,0,55,1,3,"F",40,164,996,291,134,16,12,35,2,20,20,15,"N2F"
514,0,0,37,0,6,"M",42,214,716,455,120,24,12,32,4,10,7,22.0000000000001,"A3E"
515,0,0,79,0,1,"M",40,198,557,196,120,46,13,68,6,18,14,18,"A2F"
525,0,0,92,0,1,"M",46,191,979,277,120,46,12,41,9,10,10,18,"S3E"
530,0,0,74,1,5,"M",39,193,1689,492,140,47,13,85,10,13,10,18,"S3E"
534,0,0,70,1,2,"M",38,188,1033,247,120,52,9,68,7,15,15,26.0000000000001,"A1F"
544,0,0,85,1,2,"F",51,127,764,377,148,64,7,119,12,16,16,25.0000000000001,"A1F"
549,0,0,88,1,5,"M",46,192,3483,636,144,67,8,150,22,15,15,20.0000000000001,"S2F"
554,0,0,69,1,2,"M",41,202,486,253,120,54,15,154,17,10,10,18,"S2E"
558,0,0,85,NA,NA,"F",41,179,510,284,120,58,13,146,15,15,15,20.0000000000001,"A1F"
567,0,0,51,1,5,"M",40,187,881,415,138,25,13,67,3,25,22,18,"A2G"
571,0,0,54,NA,NA,"M",30,103,739,227,138,91,33,154,12,20,20,10.0000000000001,"A2F"
572,0,0,83,1,1,"F",0,0,0,0,0,57,13,67,7,12,10,17.0000000000001,"A3E"
577,0,0,78,0,1,"F",42,281,1824,1012,160,67,12,143,17,12,12,15,"A2E"
580,0,0,52,1,6,"F",39,247,1794,449,140,21,11,20,2,15,15,16.0000000000001,"A1F"
607,0,0,30,0,7,"M",44,169,857,296,130,18,13,30,2,20,20,19.0000000000001,"N2F"
638,0,0,71,1,4,"M",41,180,980,476,140,78,14,198,17,25,25,18,"A3G"
699,0,0,49,1,5,"F",35,258,659,349,135,47,9,56,4,15,15,25.0000000000001,"A1F"
728,0,0,65,NA,4,"M",50,140,1505,405,125,31,21,61,4,25,20,6,"A2G"
733,0,0,80,1,4,"F",34,216,668,296,123,68,13,101,23,6,5,16.0000000000001,"S3D"
774,0,0,40,0,2,"F",46,163,376,226,120,35,5,56,6,15,15,24,"A1F"
815,0,0,45,1,7,"F",43,192,2070,515,139,54,13,100,8,20,20,20.0000000000001,"A1F"
836,0,0,88,1,5,"M",74,89,1865,364,145,62,13,67,11,10,10,15,"A2E"
848,0,0,53,1,5,"M",47,161,412,190,120,30,13,50,6,10,8,21,"A3E"
856,0,0,55,1,4,"M",39,245,661,391,140,57,12,170,14,20,16,17.0000000000001,"A1F"
862,0,0,81,0,1,"F",39,95,415,245,133,65,13,294,18,25,21,19.0000000000001,"S4G"
863,0,0,53,1,4,"F",38,259,1236,497,140,45,12,39,5,15,15,18,"A1F"
900,0,0,36,1,1,"M",48,110,273,146,120,14,10,20,1,20,20,17.0000000000001,"F1F"
901,0,0,39,1,5,"F",34,237,547,284,120,18,13,21,3,11,11,16.0000000000001,"N3E"
907,0,0,43,1,5,"F",39,300,1231,610,144,22,12,45,3,20,20,17.0000000000001,"A2F"
998,0,0,72,1,3,"F",39,205,460,327,120,76,13,210,12,25,25,21,"A1G"
1003,0,0,76,0,1,"M",41,243,310,214,120,58,12,89,9,15,15,15,"A1E"
1005,0,0,83,0,2,"F",44,165,705,405,140,36,13,51,3,25,25,17.0000000000001,"A2G"
1015,0,0,37,NA,NA,"F",36,229,779,244,120,33,11,35,3,15,15,16.0000000000001,"A1F"
1016,0,0,73,1,5,"M",69,105,993,317,143,24,13,28,3,16,7,16.0000000000001,"A2F"
1025,0,0,45,1,7,"M",41,168,826,322,140,27,13,55,3,25,25,19.0000000000001,"A2G"
1040,1,25,72,1,3,"F",43,176,372,169,120,67,13,240,11,40,25,22.0000000000001,"A1G"
1152,0,0,74,1,2,"F",42,205,283,123,120,52,10,56,4,23,23,26.0000000000001,"A1F"
1163,0,0,39,NA,NA,"F",34,235,834,433,124,70,14,209,15,20,20,16.0000000000001,"S2F"
1172,0,0,76,1,5,"M",50,218,861,267,120,14,11,20,1,20,20,17.0000000000001,"F1F"
1175,0,0,91,1,1,"M",39,214,488,245,120,55,13,95,8,20,20,18,"A1F"
1201,0,0,62,1,3,"F",38,252,602,287,129,62,12,115,10,21,21,20.0000000000001,"A1F"
1216,0,0,70,1,1,"F",41,236,638,373,120,34,11,35,2,25,25,24,"A1G"
1222,0,0,52,NA,NA,"F",30,116,2333,386,160,75,13,185,15,20,20,19.0000000000001,"A1F"
1229,0,0,67,1,1,"F",36,149,774,272,129,79,12,104,28,10,6,15,"S4C"
1231,0,0,62,1,5,"F",51,131,1542,265,133,13,11,15,1,15,15,16.0000000000001,"F1F"
1259,0,0,68,0,2,"F",52,151,2021,325,120,78,13,289,24,30,10,23.0000000000001,"S2E"
1263,0,0,24,1,5,"M",36,268,553,313,120,71,13,230.5,28,14,7.5,17.0000000000001,"S3E"
1272,0,0,40,1,4,"F",36,236,895,489,135,27,14,32,5,8,8,16.0000000000001,"A4D"
1300,0,0,58,1,3,"F",48,187,1403,374,120,14,11,25,1,25,25,17.0000000000001,"F1G"
1329,1,20,66,1,3,"F",38,134,3939,418,140,84,21,391,21,50,17,9,"F1F"
1334,0,0,43,1,6,"M",46,147,390,234,120,41,11,51,5,15,15,18,"A1F"
1346,1,3,75,NA,NA,"F",64,111,1679,341,122,81,13,176,31,10,10,18,"S3E"
1351,0,0,80,0,2,"F",42,161,391,210,120,33,12,43,5,14,8,19.0000000000001,"A3E"
1364,0,0,61,1,7,"M",48,187,917,391,140,43,13,115,4,50,15,18,"A2G"
1384,0,0,37,0,2,"M",39,225,548,282,120,56,14,107,7,20,20,16.0000000000001,"A3F"
1389,0,0,77,1,6,"M",38,117,3325,428,161,80,13,545,22,50,40,21,"S2G"
1393,0,0,38,1,5,"F",47,173,360,192,120,24,12,41,3,16,15,18,"A2F"
1401,0,0,84,1,1,"M",40,195,410,269,120,17,8,20,1,20,20,23.0000000000001,"N1F"
1410,0,0,77,NA,NA,"F",41,188,582,432,140,44,9,280,10,50,50,18,"A4G"
1422,0,0,79,1,3,"M",66,143,616,256,120,65,14,117.01,13,16,16,18,"S3F"
1439,0,0,66,1,2,"M",39,230,911,359,120,19,11,20,3,10,5,19.0000000000001,"N3E"
1493,0,0,42,1,7,"F",37,201,1174,359,120,37,11,52,10,7,5,22.0000000000001,"A4D"
1495,0,0,87,1,6,"M",36,87,3750,311,160,32,12,45,4,15,15,16.0000000000001,"A2F"
1502,0,0,58,1,5,"F",44,168,420,261,120,47,15,60,8,12,12,16.0000000000001,"A4E"
1509,0,0,76,1,4,"M",61,106,1464,256,120,87,22,230,10,50,50,26.0000000000001,"A1G"
1598,0,0,42,1,3,"F",33,154,666,337,132,51,14,90,10,16,15,15,"A1F"
1599,0,0,71,0,1,"F",65,136,1069,411,148,103,21,248,24,15,15,4.00000000000011,"A1E"
1607,0,0,65,1,2,"F",50,169,440,164,120,61,32,128,10,16,12,5.00000000000006,"A3F"
1635,0,0,54,0,5,"M",40,239,665,272,120,27,12,32,4,11,9,21,"A3E"
1654,0,0,79,0,1,"M",42,186,473,297,120,75,11,94,34,10,10,18,"A1E"
1674,0,0,38,1,2,"M",40,169,719,258,121,26,13,32,5,8,8,16.0000000000001,"A4D"
1688,0,0,32,1,6,"F",35,265,824,356,120,66,14,294,19,43,15,15,"A4G"
1690,0,0,76,1,7,"M",46,235,1706,680,148,54,11,230,10,50,10,24,"A1E"
1728,0,0,74,1,2,"M",45,130,583,233,120,60,13,128,12,15,13,20.0000000000001,"A2E"
1775,0,0,66,1,3,"F",58,147,488,306,120,38,12,80,6,20,15,23.0000000000001,"A1F"
1783,0,0,89,NA,NA,"F",40,299,868,498,140,61,14,200,25,10,8,17.0000000000001,"S4D"
1786,0,0,55,1,4,"M",39,189,385,206,120,43,12,55,5,15,15,18,"A2F"
1797,0,0,55,1,5,"M",45,159,534,224,140,34,8,120,11,25,10,19.0000000000001,"A2G"
1801,0,0,38,1,2,"M",51,163,316,230,120,74,12,100,22,10,10,18,"A1E"
1809,1,15,70,1,5,"M",65,152,1346,323,160,13,10,20,1,20,20,17.0000000000001,"F1F"
1884,0,0,59,1,5,"M",42,203,610,267,120,59,12,170,21,12,10,15,"S3E"
1899,0,0,75,NA,NA,"F",39,165,1212,303,140,16,11,25,1,25,25,21,"N1G"
1967,0,0,97,1,4,"F",47,191,809,423,134,75,12,139,17,12,10,15,"A1E"
1988,0,0,81,0,5,"F",42,166,470,197,120,73,12,116.07,14,14,14,18,"A1E"
2005,1,15,46,1,4,"F",44,212,1086,528,149,43,13,80,6,15,15,17.0000000000001,"A2F"
2008,0,0,68,1,3,"F",39,182,894,207,120,26,17,63,7,10,9,16.0000000000001,"N4E"
2031,0,0,40,0,1,"F",35,201,734,350,129,40,16,59,5,20,20,15,"A2F"
2065,0,0,73,1,1,"F",41,179,1540,410,140,75,11,302,14,40,40,26.0000000000001,"A1G"
2083,0,0,84,0,5,"M",46,180,313,234,120,29,13,42,5,10,6,18,"A4E"
2099,0,0,47,1,2,"F",39,188,1005,390,140,71,10,104,19,10,10,25.0000000000001,"A1E"
2121,1,22,79,1,2,"M",46,167,495,322,137,26,13,55,3,25,25,17.0000000000001,"A2G"
2182,0,0,37,1,6,"M",38,230,2321,551,129,22,9,40,2,20,20,26.0000000000001,"A1F"
2191,0,0,80,0,1,"M",50,167,1897,316,132,53,15,103,7,30,30,20.0000000000001,"A1G"
2194,0,0,92,0,1,"F",40,124,1031,302,140,73,12,160,21,12,10,19.0000000000001,"A1E"
2203,0,0,68,0,4,"M",41,187,853,461,130,79,13,197,20,19,18,20.0000000000001,"A1F"
2212,0,0,50,1,4,"M",45,211,659,364,127,25,12,29,3,15,9,22.0000000000001,"A2F"
2217,0,0,44,1,7,"F",47,152,1782,269,120,31,12,36,4,15,15,18,"A2F"
2223,0,0,67,1,3,"F",35,234,546,252,120,56,19,68,13,7,5,18,"F1D"
2238,0,0,61,1,4,"F",42,195,1191,459,129,26,13,45,4,15,15,18,"A2F"
2242,0,0,70,1,2,"F",43,220,877,525,140,100,39,157,26,10,0,5.00000000000006,"A1E"
2268,0,0,73,1,2,"M",33,278,1768,282,119,68,14,94,19,6,5,16.0000000000001,"S4D"
2280,0,0,83,1,5,"M",43,167,2468,440,140,55,13,166,9,26,26,17.0000000000001,"S2G"
2301,0,0,52,1,7,"M",34,228,1034,510,140,36,12,39,4,20,20,18,"A1F"
2311,0,0,74,1,3,"F",41,200,385,194,120,62,15,125,10,16,15,20.0000000000001,"A1F"
